immatriculation,marque,nom,puissance,longueur,nbPlaces,nbPortes,couleur,occasion,prix
6398 TJ 36,BMW,M5,507,très longue,5,5,noir,false,94800
2239 DH 24,Jaguar,X-Type 2.5 V6,197,longue,5,5,rouge,false,37100
2829 WK 38,Mini,Copper 1.6 16V,115,courte,5,5,bleu,true,12740
9042 QP 70,Mini,Copper 1.6 16V,115,courte,5,5,blanc,true,12740
1346 KV 76,Volkswagen,Polo 1.2 6V,55,courte,5,3,rouge,false,12200
9847 AZ 64,Audi,A2 1.4,75,courte,5,5,noir,true,12817
4022 AN 81,Renault,Vel Satis 3.5 V6,245,très longue,5,5,rouge,false,49200
8779 EH 67,Nissan,Primera 1.6,109,longue,5,5,noir,false,18650
9636 AS 35,BMW,M5,507,très longue,5,5,rouge,true,66360
9892 IX 28,Renault,Vel Satis 3.5 V6,245,très longue,5,5,bleu,false,49200
4581 IQ 64,Fiat,Croma 2.2,147,longue,5,5,blanc,false,24780
7129 DM 10,Lancia,Ypsilon 1.4 16V,90,courte,5,3,gris,false,13500
343 JW 75,BMW,M5,507,très longue,5,5,noir,true,66360
8841 SM 78,Mercedes,A200,136,moyenne,5,5,blanc,false,25900
6794 CM 41,Audi,A2 1.4,75,courte,5,5,blanc,true,12817
7652 ZJ 87,BMW,M5,507,très longue,5,5,rouge,false,94800
9662 IO 21,Volvo,S80 T6,272,très longue,5,5,gris,true,35350
8705 JX 55,Ford,Mondeo 1.8,125,longue,5,5,blanc,false,23900
4344 YY 26,Audi,A2 1.4,75,courte,5,5,gris,false,18310
5883 EY 96,Mini,Copper 1.6 16V,115,courte,5,5,noir,false,18200
704 OU 91,Saab,9.3 1.8T,150,longue,5,5,noir,false,38600
6127 XP 27,Jaguar,X-Type 2.5 V6,197,longue,5,5,bleu,false,37100
4512 LR 74,BMW,M5,507,très longue,5,5,rouge,false,94800
6174 CJ 90,Peugeot,1007 1.4,75,courte,5,5,bleu,true,9625
8870 DJ 80,Jaguar,X-Type 2.5 V6,197,longue,5,5,blanc,false,37100
5924 BX 42,Jaguar,X-Type 2.5 V6,197,longue,5,5,gris,false,37100
493 KO 66,Nissan,Maxima 3.0 V6,200,très longue,5,5,rouge,false,30000
507 AE 50,Jaguar,X-Type 2.5 V6,197,longue,5,5,noir,true,25970
7487 FD 91,Saab,9.3 1.8T,150,longue,5,5,rouge,false,38600
913 SK 83,Audi,A2 1.4,75,courte,5,5,gris,false,18310
3846 GN 48,Volkswagen,Polo 1.2 6V,55,courte,5,3,noir,false,12200
4195 XB 84,Fiat,Croma 2.2,147,longue,5,5,gris,false,24780
2566 OE 62,Renault,Laguna 2.0T,170,longue,5,5,noir,false,27300
2341 TC 19,Volkswagen,Polo 1.2 6V,55,courte,5,3,noir,false,12200
9719 CN 65,BMW,M5,507,très longue,5,5,rouge,false,94800
7822 YY 31,Mercedes,S500,306,très longue,5,5,noir,false,101300
4603 OF 74,Ford,Mondeo 1.8,125,longue,5,5,rouge,false,23900
7873 JZ 79,Audi,A2 1.4,75,courte,5,5,rouge,false,18310
9828 QA 97,Fiat,Croma 2.2,147,longue,5,5,blanc,false,24780
1697 LN 52,Volvo,S80 T6,272,très longue,5,5,rouge,true,35350
38 FX 32,Renault,Laguna 2.0T,170,longue,5,5,noir,false,27300
3517 JB 66,Skoda,Superb 2.8 V6,193,très longue,5,5,gris,false,31790
2882 KV 91,Fiat,Croma 2.2,147,longue,5,5,blanc,false,24780
583 PA 55,Audi,A2 1.4,75,courte,5,5,rouge,true,12817
747 ZQ 76,Jaguar,X-Type 2.5 V6,197,longue,5,5,blanc,false,37100
3593 YK 56,BMW,120i,150,moyenne,5,5,bleu,true,25060
8474 MT 16,Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,bleu,false,22900
1417 AN 69,Fiat,Croma 2.2,147,longue,5,5,blanc,false,24780
544 KI 33,Volkswagen,Polo 1.2 6V,55,courte,5,3,bleu,false,12200
9259 FQ 15,Mercedes,S500,306,très longue,5,5,noir,true,70910
9593 LY 13,Nissan,Almera 1.8,115,moyenne,5,5,gris,false,16450
4342 FX 17,Fiat,Croma 2.2,147,longue,5,5,rouge,false,24780
4181 AT 61,Audi,A2 1.4,75,courte,5,5,gris,true,12817
4976 YB 60,Saab,9.3 1.8T,150,longue,5,5,gris,false,38600
1793 GH 90,BMW,M5,507,très longue,5,5,blanc,true,66360
6208 TT 24,BMW,M5,507,très longue,5,5,bleu,false,94800
3833 EG 32,BMW,M5,507,très longue,5,5,noir,false,94800
9738 RA 59,Mercedes,A200,136,moyenne,5,5,gris,true,18130
5032 RL 34,Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,gris,false,22900
8812 CB 78,Mercedes,S500,306,très longue,5,5,blanc,false,101300
4436 JP 71,Saab,9.3 1.8T,150,longue,5,5,bleu,false,38600
7029 KU 52,Audi,A2 1.4,75,courte,5,5,gris,false,18310
955 GJ 59,Dacia,Logan 1.6 MPI,90,moyenne,5,5,noir,false,7500
4069 QA 18,Audi,A2 1.4,75,courte,5,5,noir,false,18310
3172 ZU 58,Ford,Mondeo 1.8,125,longue,5,5,blanc,false,23900
7834 BI 51,Mercedes,S500,306,très longue,5,5,rouge,true,70910
3535 JE 79,BMW,M5,507,très longue,5,5,noir,true,66360
6335 VV 93,BMW,M5,507,très longue,5,5,rouge,false,94800
2610 VQ 32,BMW,M5,507,très longue,5,5,bleu,true,66360
1350 MG 33,Audi,A2 1.4,75,courte,5,5,noir,true,12817
1643 QW 51,Peugeot,1007 1.4,75,courte,5,5,bleu,false,13750
5586 TG 71,BMW,M5,507,très longue,5,5,bleu,false,94800
715 FR 30,Volkswagen,Polo 1.2 6V,55,courte,5,3,bleu,false,12200
2261 KC 65,Mercedes,A200,136,moyenne,5,5,bleu,true,18130
8756 QQ 46,Volkswagen,Polo 1.2 6V,55,courte,5,3,rouge,true,8540
1250 ZC 33,BMW,M5,507,très longue,5,5,rouge,false,94800
2229 LN 98,Volkswagen,Polo 1.2 6V,55,courte,5,3,bleu,true,8540
8614 IY 91,Fiat,Croma 2.2,147,longue,5,5,gris,false,24780
5491 QK 37,Volkswagen,Polo 1.2 6V,55,courte,5,3,rouge,false,12200
3047 DR 19,Mercedes,S500,306,très longue,5,5,bleu,false,101300
2828 EN 64,Audi,A2 1.4,75,courte,5,5,rouge,false,18310
6514 SO 46,Volkswagen,Polo 1.2 6V,55,courte,5,3,blanc,true,8540
6541 RL 30,Audi,A2 1.4,75,courte,5,5,rouge,false,18310
7030 JC 32,Mercedes,A200,136,moyenne,5,5,bleu,false,25900
5866 MZ 15,Renault,Laguna 2.0T,170,longue,5,5,noir,true,19110
2526 JV 82,BMW,120i,150,moyenne,5,5,bleu,true,25060
862 TA 90,BMW,M5,507,très longue,5,5,gris,false,94800
6108 IP 98,Audi,A2 1.4,75,courte,5,5,noir,false,18310
8400 ZD 91,Jaguar,X-Type 2.5 V6,197,longue,5,5,bleu,true,25970
7080 PN 50,Volvo,S80 T6,272,très longue,5,5,rouge,false,50500
9316 XN 73,Renault,Vel Satis 3.5 V6,245,très longue,5,5,blanc,false,49200
2353 YU 86,Audi,A2 1.4,75,courte,5,5,rouge,false,18310
1729 ES 33,BMW,M5,507,très longue,5,5,blanc,false,94800
5706 CG 60,BMW,M5,507,très longue,5,5,rouge,false,94800
4817 AM 69,Renault,Laguna 2.0T,170,longue,5,5,gris,false,27300
8976 YC 10,BMW,M5,507,très longue,5,5,noir,true,66360
9811 QU 62,Audi,A2 1.4,75,courte,5,5,gris,false,18310
8499 JB 37,Renault,Megane 2.0 16V,135,moyenne,5,5,bleu,false,22350
1375 UM 58,Peugeot,1007 1.4,75,courte,5,5,blanc,false,13750
7011 BE 97,Mercedes,S500,306,très longue,5,5,gris,false,101300
4781 CR 84,Jaguar,X-Type 2.5 V6,197,longue,5,5,noir,false,37100
7916 UJ 75,Jaguar,X-Type 2.5 V6,197,longue,5,5,gris,false,37100
3589 YW 37,Audi,A2 1.4,75,courte,5,5,gris,false,18310
4157 QC 41,Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,gris,false,22900
5835 YT 88,BMW,M5,507,très longue,5,5,rouge,false,94800
9446 CB 25,BMW,M5,507,très longue,5,5,rouge,false,94800
2168 KT 30,Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,rouge,true,16029
8878 DQ 53,Fiat,Croma 2.2,147,longue,5,5,noir,false,24780
1929 EU 78,Fiat,Croma 2.2,147,longue,5,5,rouge,false,24780
5712 OX 48,Ford,Mondeo 1.8,125,longue,5,5,noir,false,23900
677 VG 79,Volkswagen,Polo 1.2 6V,55,courte,5,3,bleu,false,12200
3619 BR 56,Volkswagen,Polo 1.2 6V,55,courte,5,3,blanc,false,12200
7127 GX 59,Mercedes,S500,306,très longue,5,5,bleu,false,101300
5940 IU 87,Volvo,S80 T6,272,très longue,5,5,noir,true,35350
7368 PA 28,Jaguar,X-Type 2.5 V6,197,longue,5,5,blanc,false,37100
2627 DE 67,Renault,Megane 2.0 16V,135,moyenne,5,5,gris,false,22350
5732 AF 31,Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,noir,false,22900
4564 SN 38,Mercedes,S500,306,très longue,5,5,rouge,false,101300
7622 RZ 24,Dacia,Logan 1.6 MPI,90,moyenne,5,5,blanc,false,7500
6639 MX 96,Mercedes,A200,136,moyenne,5,5,blanc,false,25900
9994 HQ 57,Renault,Laguna 2.0T,170,longue,5,5,rouge,true,19110
131 JU 19,Mercedes,A200,136,moyenne,5,5,blanc,true,18130
581 UL 88,Renault,Vel Satis 3.5 V6,245,très longue,5,5,gris,false,49200
8770 QN 50,Volkswagen,Polo 1.2 6V,55,courte,5,3,gris,true,8540
7900 DJ 87,Volvo,S80 T6,272,très longue,5,5,gris,true,35350
4123 DS 35,Saab,9.3 1.8T,150,longue,5,5,bleu,false,38600
2814 TQ 28,Volvo,S80 T6,272,très longue,5,5,gris,true,35350
1831 UO 10,Audi,A2 1.4,75,courte,5,5,rouge,true,12817
4424 SB 51,Peugeot,1007 1.4,75,courte,5,5,blanc,false,13750
5161 TH 37,Ford,Mondeo 1.8,125,longue,5,5,blanc,false,23900
1469 WQ 57,Audi,A2 1.4,75,courte,5,5,rouge,false,18310
9511 SF 89,Audi,A2 1.4,75,courte,5,5,rouge,false,18310
843 RP 83,Jaguar,X-Type 2.5 V6,197,longue,5,5,noir,true,25970
693 EV 35,Jaguar,X-Type 2.5 V6,197,longue,5,5,rouge,false,37100
4550 EV 38,BMW,M5,507,très longue,5,5,rouge,true,66360
5046 ID 90,Audi,A2 1.4,75,courte,5,5,rouge,false,18310
8475 LH 90,Audi,A3 2.0 FSI,150,moyenne,5,5,gris,false,28500
2951 TO 73,Jaguar,X-Type 2.5 V6,197,longue,5,5,gris,false,37100
5051 MU 61,BMW,M5,507,très longue,5,5,rouge,false,94800
8140 KK 82,BMW,M5,507,très longue,5,5,bleu,false,94800
271 VH 59,Jaguar,X-Type 2.5 V6,197,longue,5,5,bleu,false,37100
2865 UZ 46,Volvo,S80 T6,272,très longue,5,5,rouge,false,50500
5740 LO 16,Volkswagen,Polo 1.2 6V,55,courte,5,3,noir,false,12200
3966 KZ 71,Audi,A2 1.4,75,courte,5,5,gris,true,12817
6763 YP 46,Renault,Megane 2.0 16V,135,moyenne,5,5,rouge,false,22350
6976 VF 48,Volvo,S80 T6,272,très longue,5,5,bleu,false,50500
7950 DR 16,Renault,Vel Satis 3.5 V6,245,très longue,5,5,gris,false,49200
3124 EU 39,Audi,A2 1.4,75,courte,5,5,blanc,false,18310
4341 KO 79,Peugeot,1007 1.4,75,courte,5,5,noir,false,13750
1187 WV 54,Peugeot,1007 1.4,75,courte,5,5,blanc,false,13750
381 MH 26,Nissan,Maxima 3.0 V6,200,très longue,5,5,gris,false,30000
1435 KO 92,Mini,Copper 1.6 16V,115,courte,5,5,gris,false,18200
1408 YQ 79,Volkswagen,Polo 1.2 6V,55,courte,5,3,bleu,false,12200
8325 IG 17,Saab,9.3 1.8T,150,longue,5,5,bleu,false,38600
