marque,nom,immatriculation,puissance,longueur,nbPlaces,nbPortes,couleur,occasion,prix,prediction
Volkswagen,Polo 1.2 6V,5134 VU 49,55,courte,5,3,noir,false,12200,1
Renault,Megane 2.0 16V,7788 PX 93,135,moyenne,5,5,bleu,false,22350,0
Jaguar,X-Type 2.5 V6,8830 NK 36,197,longue,5,5,noir,false,37100,0
Renault,Megane 2.0 16V,1661 LS 74,135,moyenne,5,5,blanc,false,22350,0
Kia,Picanto 1.1,2788 OF 48,65,courte,5,5,blanc,false,8990,3
Renault,Vel Satis 3.5 V6,8296 KW 25,245,très longue,5,5,gris,false,49200,2
Jaguar,X-Type 2.5 V6,8490 KB 43,197,longue,5,5,blanc,false,37100,0
Volvo,S80 T6,2469 ZY 80,272,très longue,5,5,blanc,false,50500,2
Peugeot,1007 1.4,3329 KB 48,75,courte,5,5,noir,false,13750,3
Renault,Vel Satis 3.5 V6,6438 VK 33,245,très longue,5,5,rouge,false,49200,2
Nissan,Primera 1.6,6524 IO 56,109,longue,5,5,rouge,false,18650,0
Volvo,S80 T6,3142 RV 53,272,très longue,5,5,blanc,false,50500,2
Audi,A2 1.4,1135 UT 37,75,courte,5,5,gris,false,18310,3
Jaguar,X-Type 2.5 V6,4532 KN 30,197,longue,5,5,rouge,false,37100,0
BMW,M5,6993 RU 90,507,très longue,5,5,rouge,false,94800,2
BMW,M5,6347 HO 47,507,très longue,5,5,bleu,false,94800,2
Saab,9.3 1.8T,5144 JA 34,150,longue,5,5,noir,false,38600,0
Renault,Laguna 2.0T,2684 AK 30,170,longue,5,5,blanc,false,27300,0
BMW,M5,3803 IZ 15,507,très longue,5,5,gris,false,94800,2
Volvo,S80 T6,8602 IF 65,272,très longue,5,5,gris,false,50500,2
Volkswagen,Polo 1.2 6V,1171 XN 33,55,courte,5,3,rouge,false,12200,1
Jaguar,X-Type 2.5 V6,6279 NO 15,197,longue,5,5,gris,false,37100,0
Saab,9.3 1.8T,6002 JG 32,150,longue,5,5,bleu,false,38600,0
Ford,Mondeo 1.8,8852 ZP 25,125,longue,5,5,blanc,false,23900,0
Renault,Vel Satis 3.5 V6,4980 VF 29,245,très longue,5,5,gris,false,49200,2
BMW,M5,8781 WQ 86,507,très longue,5,5,bleu,false,94800,2
Kia,Picanto 1.1,5726 EQ 31,65,courte,5,5,noir,false,8990,3
Renault,Vel Satis 3.5 V6,8208 UM 60,245,très longue,5,5,noir,false,49200,2
Ford,Mondeo 1.8,9410 GQ 79,125,longue,5,5,blanc,false,23900,0
Audi,A2 1.4,886 MC 43,75,courte,5,5,rouge,false,18310,3
Audi,A2 1.4,9820 YZ 15,75,courte,5,5,rouge,false,18310,3
Volvo,S80 T6,2350 DL 24,272,très longue,5,5,gris,false,50500,2
Volkswagen,Polo 1.2 6V,7132 WI 89,55,courte,5,3,rouge,false,12200,1
Volvo,S80 T6,4275 ZJ 60,272,très longue,5,5,blanc,false,50500,2
Audi,A3 2.0 FSI,9034 QJ 19,150,moyenne,5,5,noir,false,28500,0
Mercedes,S500,3824 AF 56,306,très longue,5,5,noir,false,101300,2
Audi,A2 1.4,869 BY 21,75,courte,5,5,noir,false,18310,3
Jaguar,X-Type 2.5 V6,5822 SK 16,197,longue,5,5,bleu,false,37100,0
BMW,M5,4218 TL 67,507,très longue,5,5,gris,false,94800,2
