age,sexe,taux,situationFamiliale,nbEnfantsAcharge,2eme voiture,immatriculation,sexe_index,situationFamiliale_index,2eme voiture_index
27.0,M,990.0,En Couple,3.0,false,1435 TU 40,0.0,0.0,0.0
33.0,M,1288.0,En Couple,0.0,false,2458 CW 38,0.0,0.0,0.0
23.0,M,1342.0,Célibataire,0.0,false,9316 TP 82,0.0,1.0,0.0
71.0,M,939.0,En Couple,0.0,false,4709 NC 57,0.0,0.0,0.0
75.0,M,799.0,En Couple,0.0,false,5431 UA 25,0.0,0.0,0.0
51.0,M,1135.0,En Couple,2.0,false,5090 KI 59,0.0,0.0,0.0
53.0,F,971.0,En Couple,1.0,true,7507 QJ 88,1.0,0.0,1.0
67.0,M,562.0,En Couple,0.0,false,3783 GB 66,0.0,0.0,0.0
28.0,M,1185.0,En Couple,3.0,true,4356 PW 82,0.0,0.0,1.0
69.0,F,782.0,En Couple,2.0,true,5530 QL 48,1.0,0.0,1.0
81.0,M,568.0,Célibataire,0.0,false,5700 OE 66,0.0,1.0,0.0
83.0,M,1193.0,Célibataire,0.0,false,9244 WM 25,0.0,1.0,0.0
54.0,M,585.0,En Couple,3.0,false,3425 LE 58,0.0,0.0,0.0
21.0,M,1281.0,Célibataire,2.0,false,3128 RY 83,0.0,1.0,0.0
72.0,M,1232.0,Célibataire,0.0,false,8805 VH 51,0.0,1.0,0.0
44.0,M,592.0,En Couple,0.0,false,2645 JU 88,0.0,0.0,0.0
81.0,M,579.0,En Couple,3.0,false,9276 VP 43,0.0,0.0,0.0
44.0,M,547.0,En Couple,0.0,false,3749 VO 38,0.0,0.0,0.0
44.0,M,1272.0,En Couple,1.0,false,7118 ZI 26,0.0,0.0,0.0
51.0,F,566.0,Célibataire,0.0,false,8543 KD 50,1.0,1.0,0.0
22.0,M,584.0,En Couple,4.0,false,4141 MQ 97,0.0,0.0,0.0
26.0,F,1036.0,En Couple,1.0,true,9820 YZ 15,1.0,0.0,1.0
54.0,F,885.0,Célibataire,0.0,false,4129 YW 32,1.0,1.0,0.0
74.0,M,1391.0,En Couple,1.0,true,7790 XU 96,0.0,0.0,1.0
49.0,F,545.0,En Couple,1.0,false,2234 CQ 12,1.0,0.0,0.0
69.0,F,827.0,Célibataire,0.0,false,4601 OJ 43,1.0,1.0,0.0
52.0,M,918.0,En Couple,2.0,false,1106 TS 64,0.0,0.0,0.0
61.0,M,1162.0,En Couple,3.0,false,8989 UL 14,0.0,0.0,0.0
23.0,M,1208.0,En Couple,0.0,false,4294 HH 51,0.0,0.0,0.0
32.0,F,1138.0,En Couple,3.0,false,2136 UK 36,1.0,0.0,0.0
21.0,M,801.0,En Couple,0.0,false,2380 UG 64,0.0,0.0,0.0
55.0,M,588.0,En Couple,1.0,false,9051 DF 82,0.0,0.0,0.0
50.0,F,877.0,En Couple,2.0,false,821 HU 57,1.0,0.0,0.0
