immatriculation,marque,nom,puissance,longueur,nbPlaces,nbPortes,couleur,occasion,prix
9339 BW 87,Volvo,S80 T6,272,très longue,5,5,bleu,true,35350
8955 RA 70,Nissan,Maxima 3.0 V6,200,très longue,5,5,rouge,false,30000
2095 ZI 23,Dacia,Logan 1.6 MPI,90,moyenne,5,5,gris,false,7500
3402 SK 10,Mercedes,S500,306,très longue,5,5,bleu,true,70910
3916 OI 98,Renault,Megane 2.0 16V,135,moyenne,5,5,noir,false,22350
6819 NO 27,Saab,9.3 1.8T,150,longue,5,5,blanc,true,27020
3454 UH 18,Mercedes,S500,306,très longue,5,5,bleu,false,101300
504 CE 26,Jaguar,X-Type 2.5 V6,197,longue,5,5,bleu,false,37100
3058 PM 78,Volkswagen,Polo 1.2 6V,55,courte,5,3,blanc,false,12200
6532 II 81,Mercedes,A200,136,moyenne,5,5,blanc,true,18130
402 PA 28,Ford,Mondeo 1.8,125,longue,5,5,noir,false,23900
8508 AA 37,Jaguar,X-Type 2.5 V6,197,longue,5,5,gris,false,37100
4714 OT 44,Jaguar,X-Type 2.5 V6,197,longue,5,5,bleu,true,25970
2025 AF 74,BMW,120i,150,moyenne,5,5,blanc,true,25060
5962 TJ 78,BMW,M5,507,très longue,5,5,blanc,false,94800
1847 BX 72,Peugeot,1007 1.4,75,courte,5,5,rouge,true,9625
3885 EP 58,Skoda,Superb 2.8 V6,193,très longue,5,5,noir,false,31790
5645 GX 72,BMW,M5,507,très longue,5,5,bleu,false,94800
3836 OJ 29,BMW,M5,507,très longue,5,5,noir,false,94800
9289 GE 54,Jaguar,X-Type 2.5 V6,197,longue,5,5,gris,true,25970
2789 ST 24,Renault,Vel Satis 3.5 V6,245,très longue,5,5,blanc,false,49200
4693 SL 40,Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,blanc,true,16029
7863 TV 16,Ford,Mondeo 1.8,125,longue,5,5,noir,false,23900
6371 QW 58,Audi,A2 1.4,75,courte,5,5,blanc,true,12817
9945 HV 43,Mercedes,S500,306,très longue,5,5,blanc,false,101300
3170 GJ 80,Mini,Copper 1.6 16V,115,courte,5,5,rouge,false,18200
4945 GJ 50,BMW,M5,507,très longue,5,5,bleu,false,94800
1301 WD 66,Audi,A2 1.4,75,courte,5,5,gris,false,18310
5891 JT 65,Nissan,Maxima 3.0 V6,200,très longue,5,5,bleu,false,30000
6679 RM 22,Ford,Mondeo 1.8,125,longue,5,5,noir,true,16730
846 AJ 50,Audi,A2 1.4,75,courte,5,5,noir,false,18310
1505 VX 66,Jaguar,X-Type 2.5 V6,197,longue,5,5,bleu,false,37100
6545 LL 81,Ford,Mondeo 1.8,125,longue,5,5,gris,false,23900
1549 KL 96,Ford,Mondeo 1.8,125,longue,5,5,rouge,true,16730
9500 GZ 16,Audi,A2 1.4,75,courte,5,5,bleu,false,18310
3039 ZJ 19,Jaguar,X-Type 2.5 V6,197,longue,5,5,noir,false,37100
9582 VY 87,Jaguar,X-Type 2.5 V6,197,longue,5,5,blanc,false,37100
1799 FB 38,BMW,M5,507,très longue,5,5,gris,true,66360
8239 BU 95,Audi,A2 1.4,75,courte,5,5,rouge,false,18310
8893 AL 54,BMW,M5,507,très longue,5,5,noir,false,94800
5390 WK 27,Volkswagen,Polo 1.2 6V,55,courte,5,3,noir,false,12200
8390 XU 28,Volvo,S80 T6,272,très longue,5,5,rouge,false,50500
300 DB 36,Ford,Mondeo 1.8,125,longue,5,5,rouge,false,23900
6017 XG 32,Volvo,S80 T6,272,très longue,5,5,gris,false,50500
2508 FR 96,Renault,Laguna 2.0T,170,longue,5,5,blanc,false,27300
2432 YN 65,Renault,Megane 2.0 16V,135,moyenne,5,5,noir,false,22350
3746 OG 25,Peugeot,1007 1.4,75,courte,5,5,noir,false,13750
9180 HV 70,Jaguar,X-Type 2.5 V6,197,longue,5,5,noir,true,25970
2657 CE 76,Ford,Mondeo 1.8,125,longue,5,5,rouge,false,23900
6294 CZ 51,BMW,M5,507,très longue,5,5,noir,true,66360
4903 UA 85,Renault,Megane 2.0 16V,135,moyenne,5,5,bleu,true,15644
5447 MV 89,Audi,A2 1.4,75,courte,5,5,gris,false,18310
5730 JF 22,Ford,Mondeo 1.8,125,longue,5,5,noir,false,23900
5145 VU 51,Renault,Vel Satis 3.5 V6,245,très longue,5,5,rouge,false,49200
9577 WK 45,Dacia,Logan 1.6 MPI,90,moyenne,5,5,noir,false,7500
7292 WI 29,Peugeot,1007 1.4,75,courte,5,5,rouge,true,9625
379 WX 98,Audi,A2 1.4,75,courte,5,5,noir,false,18310
3323 YR 20,Ford,Mondeo 1.8,125,longue,5,5,bleu,false,23900
1213 KK 40,Audi,A2 1.4,75,courte,5,5,rouge,true,12817
5487 MG 73,Peugeot,1007 1.4,75,courte,5,5,rouge,false,13750
7101 WY 64,Nissan,Almera 1.8,115,moyenne,5,5,rouge,false,16450
8898 XP 37,Saab,9.3 1.8T,150,longue,5,5,noir,true,27020
8293 BZ 57,Jaguar,X-Type 2.5 V6,197,longue,5,5,noir,false,37100
7560 TN 35,Daihatsu,Cuore 1.0,58,courte,5,3,blanc,false,8850
4634 GD 18,BMW,M5,507,très longue,5,5,bleu,false,94800
913 VS 74,BMW,M5,507,très longue,5,5,bleu,true,66360
5919 YG 63,Renault,Megane 2.0 16V,135,moyenne,5,5,bleu,true,15644
8609 UD 80,Peugeot,1007 1.4,75,courte,5,5,blanc,true,9625
9308 UM 45,Skoda,Superb 2.8 V6,193,très longue,5,5,gris,false,31790
4564 LP 89,Audi,A2 1.4,75,courte,5,5,noir,false,18310
8269 TB 71,Renault,Vel Satis 3.5 V6,245,très longue,5,5,gris,false,49200
6045 XY 86,Nissan,Maxima 3.0 V6,200,très longue,5,5,rouge,false,30000
6684 II 18,Nissan,Almera 1.8,115,moyenne,5,5,gris,false,16450
6656 XB 18,Volvo,S80 T6,272,très longue,5,5,rouge,true,35350
419 WL 84,Volkswagen,Polo 1.2 6V,55,courte,5,3,gris,false,12200
4399 MA 67,Ford,Mondeo 1.8,125,longue,5,5,gris,false,23900
3601 WM 90,Renault,Vel Satis 3.5 V6,245,très longue,5,5,bleu,false,49200
2533 QK 98,BMW,M5,507,très longue,5,5,bleu,false,94800
8887 UF 17,Jaguar,X-Type 2.5 V6,197,longue,5,5,blanc,false,37100
8305 IQ 44,Mercedes,S500,306,très longue,5,5,noir,false,101300
4404 EW 65,Skoda,Superb 2.8 V6,193,très longue,5,5,gris,false,31790
4328 TA 16,Renault,Vel Satis 3.5 V6,245,très longue,5,5,noir,false,49200
1477 LJ 43,BMW,M5,507,très longue,5,5,bleu,false,94800
7659 OO 90,Fiat,Croma 2.2,147,longue,5,5,gris,false,24780
3308 VH 26,Mercedes,S500,306,très longue,5,5,noir,true,70910
166 QC 15,Nissan,Maxima 3.0 V6,200,très longue,5,5,blanc,false,30000
1052 DQ 34,Dacia,Logan 1.6 MPI,90,moyenne,5,5,blanc,false,7500
4701 HI 91,Saab,9.3 1.8T,150,longue,5,5,gris,false,38600
2444 ND 82,Volvo,S80 T6,272,très longue,5,5,rouge,false,50500
2717 QP 72,Daihatsu,Cuore 1.0,58,courte,5,3,gris,false,8850
2158 IM 44,Renault,Laguna 2.0T,170,longue,5,5,gris,false,27300
8556 WB 12,Renault,Megane 2.0 16V,135,moyenne,5,5,blanc,true,15644
7172 KZ 61,Renault,Megane 2.0 16V,135,moyenne,5,5,rouge,false,22350
781 NZ 75,Kia,Picanto 1.1,65,courte,5,5,noir,false,8990
688 JR 96,Volkswagen,Polo 1.2 6V,55,courte,5,3,bleu,false,12200
463 MG 77,Renault,Vel Satis 3.5 V6,245,très longue,5,5,bleu,false,49200
1443 OY 36,Renault,Vel Satis 3.5 V6,245,très longue,5,5,blanc,true,34440
3434 LM 65,Saab,9.3 1.8T,150,longue,5,5,gris,false,38600
1295 GY 19,Peugeot,1007 1.4,75,courte,5,5,noir,false,13750
173 KP 20,BMW,M5,507,très longue,5,5,noir,true,66360
2914 KP 27,Volkswagen,Polo 1.2 6V,55,courte,5,3,noir,true,8540
7732 AA 32,Peugeot,1007 1.4,75,courte,5,5,rouge,false,13750
9155 DO 88,Seat,Toledo 1.6,102,longue,5,5,noir,false,18880
1611 DK 57,Jaguar,X-Type 2.5 V6,197,longue,5,5,blanc,true,25970
8047 XJ 82,Volvo,S80 T6,272,très longue,5,5,blanc,true,35350
531 WI 57,Lancia,Ypsilon 1.4 16V,90,courte,5,3,blanc,false,13500
259 AY 25,Volkswagen,Polo 1.2 6V,55,courte,5,3,bleu,true,8540
